Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
[REVIVE] [Exclusive Sale] PVC Figure 1/4 Saber / Altria Pendragon - Fate/Grand Order (Re-Release),Late Pre-Order,5350000,72,Altria Pendragon,Fate,Scaled Figure,FREEing
Pop Up Parade Figure Shima Rin - Yuru Camp,Ready Stock,500000,72,Shima Rin,Yuru Camp,Pop Up Parade,Max Factory
[Exclusive Sale] PVC Figure 1/7 Nia - Xenoblade Chronicles 2,Ready Stock,3650000,72,Nia,Xenoblade Chronicles 2,Scaled Figure,Good Smile Company
[Cast Off] PVC Figure 1/6 Tsujinaka Miho Illustration by Danimaru - Kono Koi ni Kizuite The Animation,Late Pre-Order,3500000,72,Tsujinaka Miho,Original Character,Scaled Figure,nocturne
figma Ichi - Heavily Armed High School Girls,Sold Out,1250000,72,Ichi,Heavily Armed High School Girls,figma,Max Factory
Wonderland Figure Hatsune Miku - Red Riding Hood (18cm),Sold Out,350000,72,Hatsune Miku,Vocaloid,Prize Figure,Taito
[Toho Store Limited] Nendoroid Okkotsu Yuta - Jujutsu Kaisen 0 Ver.,Sold Out,1180000,72,Okkotsu Yuta,Jujutsu Kaisen,Nendoroid,Good Smile Company Limited
Noodle Stopper Figure Alice Schuberg (13cm),Sold Out,450000,72,Alice Schuberg,Sword Art Online,Prize Figure,FuRyu
PVC Figure 1/7 Nakano Miku & Nakano Ichika - Gotoubun no Hanayome,Ready Stock,3190000,72,Nakano Miku,Gotoubun no Hanayome,Scaled Figure,WING
[REVIVE] PVC Figure Rei & Asuka - twinmore Object (23cm),Late Pre-Order,5450000,72,Asuka Langley,Evangelion,Scaled Figure,Union Creative
PVC Figure 1/7 Lappland - Elite 2 Premium Ver.,Ready Stock,2950000,72,Lappland,Arknights,Scaled Figure,APEX
Ganyu Capsule Collection Figure Vol. 2 - Genshin Impact,Sold Out,110000,72,Ganyu,Genshin Impact,Mini Figure,Bushiroad
Coreful Figure Sakurajima Mai - Uniform Bunny Ver. (20cm),Ready Stock,420000,72,Sakurajima Mai,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Prize Figure,Taito
LookUp Figure Satoru Gojo - High School Ver. Jujutsu Kaisen,Sold Out,520000,72,Satoru Gojo,Jujutsu Kaisen,Lookup,MegaHouse
Power Bank Yae Sakura (10.000 mAh) - Honkai Impact 3rd,Sold Out,650000,71,Yae Sakura,Honkai Impact 3,Merchandise - Stationery,Mihoyo
[Exclusive Sale] PVC Figure 1/7 Megumi Kato - Racing Ver.,Ready Stock,2650000,71,Megumi Kato,Saenai Heroine no Sodatekata,Scaled Figure,Good Smile Company
[REVIVE] Limited Premium Figure EVA-01 - Evangelion (22cm),Sold Out,550000,71,EVA-01,Evangelion,Prize Figure,SEGA
Nendoroid Hatsune Miku: Maneki Miku Ver. Vocaloid,Sold Out,900000,71,Hatsune Miku,Vocaloid,Nendoroid,Good Smile Company
[REVIVE] [Bonus Keychain] Pardofelis Blanket (Size Large) - Honkai Impact 3rd,Late Pre-Order,780000,71,Pardofelis,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
Bronya Zaychik Silverwing: N-EX Shoulder Bag - Honkai Impact 3rd,Ready Stock,650000,71,Bronya Zaychik,Honkai Impact 3rd,Merchandise - Apparel,MiHoYo
EXQ Figure Sinon / Asada Shino - Stillroom Maid (13cm),Sold Out,280000,71,Sinon,Sword Art Online,Prize Figure,Banpresto
[Set Of 9] Nendoroid More: Face Swap Good Smile Selection,Sold Out,600000,71,Nendoroid More,Good Smile Company,,
Coreful Figure Ichika Nakano - Renewal Ver. Gotoubun no Hanayome (20cm),Ready Stock,350000,71,Ichika Nakano,Gotoubun no Hanayome,Prize Figure,Taito
Fashion Figure Hatsune Miku - Subculture Ver. (18cm),Ready Stock,300000,72,Hatsune Miku,Vocaloid,Prize Figure,Taito
PVC Figure Emiya Shirou & Saber - 15th Anniversary Figure -Kiseki- (59cm),Sold Out,8750000,71,Emiya Shirou & Saber,Fate,Scaled Figure,ANIPLEX+
EXQ Figure Shizu / Izawa Shizue - That Time I Got Reincarnated as a Slime (21cm),Sold Out,320000,71,Izawa Shizue,Tensei Shitara Slime Datta ken,Prize Figure,Banpresto
[With Bonus] PVC Figure 1/8 Raiden Mei - Herrscher of Thunder DX Ver.,Sold Out,3810000,71,Raiden Mei,Honkai Impact 3,Scaled Figure,APEX
PVC Figure Okkotsu Yuta - Jujutsu Kaisen Jukon no Kata (20cm),Ready Stock,300000,71,Okkotsu Yuta,Jujutsu Kaisen,Prize Figure,Bandai Spirits
Pop Up Parade Figure Schwi - No Game No Life,Sold Out,600000,71,Schwi,No Game No Life,Pop Up Parade,Good Smile Company
[Cast Off] PVC Figure 1/4 Mimia Illustration by Mana Kakkowarai,Sold Out,4950000,71,Mimia,Original Character,Scaled Figure,BINDing
[FLASH PO] [Cast Off] PVC Figure 1/4 Mira Tsubakihara - Swimsuit Ver. 3Piece Master_Piece The Animation,Late Pre-Order,4950000,71,Mira Tsubakihara,3piece the Series,Scaled Figure,BINDing
PVC Figure 1/7 Sword Maiden - Goblin Slayer,Late Pre-Order,3150000,71,Sword Maiden,Goblin Slayer,Scaled Figure,AniGift
[Exclusive Sale] PVC Figure 1/7 Mythra - Xenoblade Chronicles 2 (Re-Release),Ready Stock,3350000,70,Mythra,Xenoblade Chronicles,Scaled Figure,Good Smile Company
"PVC Figure Chizuru Mizuhara - Kanojo, Okarishimasu EXQ (18cm)",Ready Stock,400000,70,Chizuru Mizuhara,Kanojo Okarishimasu,Prize Figure,Bandai Spirits
[REVIVE] Inuzaka Mug with Stir - Genshin Impact,Sold Out,480000,70,Gorou,Genshin Impact,Merchandise - Mug,Mihoyo
Noodle Stopper Figure Inumaki Toge - Jujutsu Kaisen (15cm),Ready Stock,290000,69,Inumaki Toge,Jujutsu Kaisen,Prize Figure,FuRyu
Artist Master Piece Figure Hatsune Miku - Birthday 2023 Ver. (18cm),Late Pre-Order,350000,70,Hatsune Miku,Vocaloid,Prize Figure,Taito
[REVIVE] Durandal / Palatinus Equinox Coat Black (Size XXXL) - Honkai Impact 3rd,Late Pre-Order,1450000,70,Durandal,Honkai Impact 3rd,Merchandise - Jacket,Mihoyo
figma Saber of Red / Mordred - Fate,Sold Out,1250000,70,Mordred,Fate,figma,Max Factory
PVC Figure 1/7 Rimuru Tempest - Maou,Sold Out,2950000,70,Rimuru Tempest,Tensei Shitara Slime Datta ken,Scaled Figure,F:NEX
Arknights Rhodes Island Umbrella with Shoulder Bag,Sold Out,550000,70,Amiya,Arknights,Merchandise - Stationery,Tomorrow's Ark
Nendoroid Doll Osamu Dazai - Bungo Stray Dogs (Re-Release),Late Pre-Order,840000,70,Osamu Dazai,Bungo Stray Dogs,Nendoroid Doll,Orange Rouge
PVC Figure 1/7 Mai Sakurajima - Bunny Girl Ver. (Re-Release),Ready Stock,2350000,70,Mai Sakurajima,Seishun Butayarou wa Bunny Girl Senpai no Yume wo Minai,Scaled Figure,ANIPLEX+
Anemo Slime Plush (16cm) - Genshin Impact,Ready Stock,190000,70,Slime,Genshin Impact,Merchandise - Plush,Mihoyo
"Raiden Shogun / Baal Inazuma Theme Series 15,5cm Acrylic Ornament Stand - Genshin Impact",Ready Stock,240000,70,Raiden Mei,Genshin Impact,Merchandise - Acrylic,Mihoyo
Pop Up Parade Figure Tanya Degurechaff - Youjo Senki,Sold Out,490000,70,Tanya Degurechaff,Youjo Senki,Pop Up Parade,Good Smile Company
Premium Figure Loid Forger - Casual Outfit Ver. (18cm),Ready Stock,320000,70,Loid Forger,SPY x FAMILY,Prize Figure,SEGA
Bronya Zaychik Silverwing: N-EX Necklace - Honkai Impact 3rd,Ready Stock,380000,70,Bronya Zaychik,Honkai Impact,Merchandise - Apparel,MiHoYo
Arknights Rhodes Island Backpack Amiya,Sold Out,540000,70,Amiya,Arknights,Merchandise - Backpack,Tomorrow's Ark
Raiden Mei / Herrscher of Thunder Umbrella - Honkai Impact 3rd,Sold Out,600000,70,Raiden Mei,Honkai Impact 3rd,Merchandise - Stationery,Mihoyo
Pop Up Parade Figure Yume Minami - SSSS.Dynazenon (Re-Release),Ready Stock,510000,70,Yume Minami,SSSS.Dynazenon,Pop Up Parade,Good Smile Company
[Wonder Festival 2023 Winter] Nendoroid Snow Miku - Serene Winter Ver.,Ready Stock,1490000,70,Hatsune Miku,Vocaloid,Nendoroid,Good Smile Company Limited
"Portrait Of Pirates ""SA-MAXIMUM"" Figure Monkey D. Luffy - Gear 4 Snake Man",Sold Out,3150000,69,Monkey D. Luffy,One Piece,Scaled Figure,MegaHouse
Espresto Figure Racing Miku 2019 - Kimono Ver. Dress & Hair (18cm),Sold Out,360000,69,Hatsune Miku,Vocaloid,Prize Figure,Bandai Spirits
PVC Figure 1/7 CAworks Roxy Migurdia - Mushoku Tensei,Ready Stock,2850000,69,Caworks Roxy Migurdia,Mushoku Tensei,Scaled Figure,Chara-Ani
Pop Up Parade Figure Vanilla - Nekopara (Re-Release),Sold Out,550000,69,Vanilla,Nekopara,Pop Up Parade,Good Smile Company
Nendoroid Mostima - Arknights,Sold Out,930000,69,Mostima,Arknights,Nendoroid,Good Smile Arts Shanghai
[Limited Production] Nendoroid Doll Inosuke Hashibira,Ready Stock,920000,69,Inosuke Hashibira,Kimetsu no Yaiba,Nendoroid Doll,Good Smile Company
Super Premium Figure Hatsune Miku - Winter 2022 Ver. (21cm),Ready Stock,320000,70,Hatsune Miku,Vocaloid,Prize Figure,SEGA
Arona's Umbrella (60cm) - Blue Archive,Ready Stock,1850000,69,Arona,Blue Archive,Merchandise - Miscellaneus,Yostar
PVC Figure Hatsune Miku - Costumes Mandarin Dress Ver. (18cm),Late Pre-Order,300000,69,Hatsune Miku,Vocaloid,Prize Figure,Taito
Nendoroid Saber / Arthur Pendragon (Prototype) - Ascension Ver.,Ready Stock,790000,69,Arthur Pendragon,Fate,Nendoroid,Orange Rouge
PVC Figure 1/6 Ryza / Reisalin Stout - White Swimsuit Ver.,Ready Stock,4650000,69,Ryza,Atelier Ryza 2 : Ushinawareta Densho to Himitsu no Yosei,Scaled Figure,Spiritale
Xiao Omamori Strap (6cm) - Genshin Impact,Ready Stock,160000,69,Xiao,Genshin Impact,Merchandise - Strap,Mihoyo
PVC Figure 1/7 Traveler / Aether - Genshin Impact,Late Pre-Order,2350000,69,Aether,Genshin Impact,Scaled Figure,Kotobukiya
[REVIVE] Zhongli IC Card Case Lanyard - Genshin Impact,Late Pre-Order,290000,69,Zhongli,Genshin Impact,Merchandise - Case,Mihoyo
[REVIVE] PVC Figure 1/8 Yukinoshita Yukino - Oregairu,Late Pre-Order,1780000,69,Yukinoshita Yukino,Yahari Ore no Seishun Love Comedy wa Machigatteiru,Scaled Figure,Kotobukiya
[REVIVE] figma A-Z:[B],Late Pre-Order,1280000,69,A-Z:[B],A-Z:,figma,Max Factory
figma Reisalin Stout / Ryza - Atelier Ryza Tokoyami no Joou to Himitsu no Kakurega,Ready Stock,1440000,69,Ryza,Atelier Ryza,figma,Max Factory
Nendoroid Tokino Sora - hololive production,Ready Stock,780000,69,Tokino Sora,Hololive,Nendoroid,Max Factory
PVC Figure 1/7 Skadi - Beach Summer Ver.,Ready Stock,2150000,69,Skadi,Arknights,Scaled Figure,AniGame
[REVIVE] Haxxor Bunny Rabbit Theme Sneakers - Honkai Impact 3rd (Size 42),Sold Out,980000,69,Bronya Zaychik,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
ACT MODE Maple - Machine God Ver.,Sold Out,1850000,69,Maple,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,ACT MODE,Good Smile Company
Nendoroid Higashiyama Kobeni - Chainsaw Man,Ready Stock,740000,69,Kobeni,Chainsaw Man,Nendoroid,Good Smile Company
Nendoroid Todoroki Shoto - Hero's Edition (Re-Release),Ready Stock,700000,69,Todoroki Shoto,Boku no Hero Academia,Nendoroid,Takara Tomy
[Exclusive Sale] DX Figure Satoru Gojo - Kyoshiki Murasaki Ver.,Ready Stock,4650000,69,Satoru Gojo,Jujutsu Kaisen,Scaled Figure,MegaHouse
[REVIVE] [Cast Off] PVC Figure 1/7 Aina Endou illustration by Kyokucho,Sold Out,3850000,68,Aina Endou,Original Character,Scaled Figure,Pink Cat
PVC Figure 1/7 Ch'en / Chen - Arknights,Ready Stock,2150000,68,Ch'en,Arknights,Scaled Figure,APEX
Luminasta Figure Nanami Kento - Jujutsu Kaisen (17cm),Ready Stock,380000,68,Nanami Kento,Jujutsu Kaisen,Prize Figure,SEGA
Nendoroid Basil - OMORI,Ready Stock,650000,68,Basil,OMORI,Nendoroid,Good Smile Company
Nendoroid Rin Shima DX Ver. (Re-Release),Sold Out,950000,68,Shima Rin,Yuru Camp,Nendoroid,Max Factory
Manga HQ Anthology Haikyuu!! Plus Kareshi - School Days,Ready Stock,320000,68,Hinata Shouoyou,Haikyuu!!,Japanese Manga,Various Artist
"Nendoroid Siesta - Tantei wa Mou, Shindeiru Tanmoshi",Sold Out,720000,68,Siesta,"Tantei wa Mou, Shindeiru",Nendoroid,Good Smile Company
Pop Up Parade Figure Levi Ackerman - Shingeki no Kyojin,Ready Stock,450000,68,Levi Ackerman,Shingeki no Kyojin,Pop Up Parade,Good Smile Company
[REVIVE] PVC Figure 1/7 Hatsune Miku - Land of the Eternal,Late Pre-Order,4150000,68,Hatsune Miku,Vocaloid,Scaled Figure,Good Smile Company
Pop Up Parade Figure Inuyasha,Sold Out,520000,68,Inuyasha,Inuyasha,Pop Up Parade,Good Smile Company
Nendoroid Swacchao! Itadori Yuji - Jujutsu Kaisen,Ready Stock,380000,68,Itadori Yuji,Jujutsu Kaisen,Nendoroid Swacchao!,Good Smile Company
PVC Figure 1/7 Hatsune Miku - Rose Cage Ver.,Late Pre-Order,3450000,68,Hatsune Miku,Vocaloid,Scaled Figure,Good Smile Company
Nendoroid Kei Karuizawa - Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Ready Stock,800000,71,Kei Karuizawa,Classroom of the Elite,Nendoroid,KADOKAWA
LookUp Figure Hayakawa Aki - Chainsaw Man,Ready Stock,520000,68,Aki Hayakawa,Chainsaw Man,Lookup,MegaHouse
PVC Figure 1/7 Elaina - Early Summer Sky Ver. Majo no Tabitabi,Late Pre-Order,2850000,68,Elaina,Majo no Tabitabi,Scaled Figure,Good Smile Company
Nendoroid Colossal Titan - Renewal Set Ver. Shingeki no Kyojin,Ready Stock,700000,68,Collosal Titan,Shingeki no Kyojin,Nendoroid,Good Smile Company
"Kamisato Ayato & Kamisato Ayaka Special Collaboration ""Tea Room"" Gift Box - Genshin Impact x HeyTea",Sold Out,650000,68,Kamisato Ayaka,Genshin Impact,Merchandise - Miscellaneous,Mihoyo
[Exclusive Sale] Nendoroid Kiana Kaslana - Winter Princess Ver.,Ready Stock,1650000,67,Kiana Kaslana,Honkai Impact 3,Nendoroid,Good Smile Company
PVC Figure 1/7 Ruler / Jeanne d'Arc - Heroic Spirit Formal Dress ver.,Ready Stock,2600000,67,Jeanne D' Arc,Fate,Scaled Figure,ANIPLEX+
Precious Figure Rem - Original Cheerleader Ver. (23cm),Ready Stock,400000,67,Rem,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,Taito
Precious Figure Rem - Original Winter Ver. ReZero (23cm),Sold Out,320000,67,Rem,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,Taito
PVC Figure Sakura Miku - 2020 Ver. (18cm),Ready Stock,360000,67,Hatsune Miku,Vocaloid,Prize Figure,Taito
PVC Figure 1/6 Chizuru Mizuhara - Santa Bikini Ver.,Ready Stock,2320000,67,Chizuru Mizuhara,Kanojo Okarishimasu,Scaled Figure,Hakoiri Musume
Nendoroid Wei Wuxian - Mo Dao Zu Shi (Re-Release),Ready Stock,950000,67,Wei Wuxian,Mo Dao Zu Shi,Nendoroid,Good Smile Arts Shanghai
Espresto Figure Senritsu no Tatsumaki - Shapely One Punch Man (20cm),Sold Out,350000,67,Tatsumaki,One Punch Man,Prize Figure,Bandai Spirits
Coreful Figure Itsuki Nakano - Renewal Seifuku Ver. (20cm),Ready Stock,350000,67,Itsuki Nakano,Gotoubun no Hanayome,Prize Figure,Taito
Pop Up Parade Figure Senku Ishigami - Dr. Stone (Re-Release),Ready Stock,450000,67,Senku Ishigami,Dr. Stone,Pop Up Parade,Good Smile Company
PVC Figure 1/7 Guitar MeiMei : Flower & Mirror Illustration by hitomio,Ready Stock,2250000,67,MeiMei,Original Character,Scaled Figure,Luminous Box
Bachira Meguru Onemutan - Blue Lock,Ready Stock,70000,67,Bachira Meguru,Blue Lock,Mini Figure,Stand Stones
Premium Figure Nagisa Kaworu - Coat Ver. (22cm),Sold Out,320000,67,Nagisa Kaworu,Evangelion,Prize Figure,SEGA
PVC Figure 1/8 Dazai Osamu - Bungo Stray Dogs (Re-Release),Pre-Order,1420000,67,Dazai Osamu,Bungo Stray Dogs,Scaled Figure,Orange Rouge
[Japan Release Ver.] Nendoroid Mikey / Sano Manjiro - Tokyo Revengers,Ready Stock,1000000,67,Sano Manjiro,Tokyo Revengers,Nendoroid,Orange Rouge
PVC Figure 1/7 Jeanne D' Arc [ALTER] - Kuraki Honoo o Matoishi Ryuu no Majo,Ready Stock,6150000,68,Jeanne D' Arc,Fate,Scaled Figure,Licorne
[REVIVE] PVC Figure 1/7 Vladilena Milize / Lena - Negligee Ver.,Late Pre-Order,3450000,67,Lena,86 -eightysix-,Scaled Figure,ANIPLEX+
Noodle Stopper Figure Roxy Migurdia - Mushoku Tensei (14cm) (Re-release),Ready Stock,320000,67,Roxy Migurdia,Mushoku Tensei,Prize Figure,FuRyu
Nendoroid Doll archetype 1.1: Boy (Cream)(re-run),Sold Out,250000,67,Nendoroid Doll archetype 1.1: Boy (Cream),Nendoroid Doll,Nendoroid Doll,Good Smile Company
[Exclusive Sale] PVC Figure 1/7 Black Rock Shooter - HxxG Edition Ver.,Ready Stock,3950000,67,Black Rock Shooter,Black Rock Shooter,Scaled Figure,Max Factory
Omanjuu Ganyu Teyvat Zoo Theme Series - Genshin Impact,Ready Stock,235000,67,Ganyu,Genshin Impact,Merchandise - Plush,Mihoyo
PVC Figure 1/8 Chiaki Nanami (Re-Release),Sold Out,2200000,67,Chiaki Nanami,Danganronpa,Scaled Figure,Phat!
Shueisha Jump Manga Jujutsu Kaisen Vol. 8 - Gege Akutami,Ready Stock,160000,67,Itadori Yuji,Jujutsu Kaisen,Japanese Manga,Shueisha
[REVIVE] PVC Figure 1/8 Nezuko Kamado - Bakketsu Ver.,Late Pre-Order,2350000,67,Nezuko Kamado,Kimetsu no Yaiba,Scaled Figure,ANIPLEX+
Noodle Stopper Figure Itadori Yuji - Ending Costume Ver. (15cm),Sold Out,340000,67,Itadori Yuji,Jujutsu Kaisen,Prize Figure,FuRyu
Figure rise Standard Asuna - Sword Art Online,Ready Stock,400000,66,Asuna,Sword Art Online,Model Kit,Bandai Spirits
[GSC Limited Bonus] Nendoroid Toru Oikawa - Haikyuu! (Re-Release),Sold Out,850000,66,Toru Oikawa,Haikyuu!!,Nendoroid,Orange Rouge Limited
PVC Figure 1/7 Gojo Satoru - Mukagen Jujutsu Ver.,Sold Out,3050000,66,Gojo Satoru,Jujutsu Kaisen,Scaled Figure,F:NEX
[Limited Production] Nendoroid Raphtalia - Tate no Yuusha no Nariagari (Re-Release),Ready Stock,640000,66,Raphtalia,Tate no Yuusha no Nariagari,Nendoroid,Good Smile Company
Ganyu Mini Figure Battlefield Heroes Series Vol.2 (8cm) - Genshin Impact,Sold Out,290000,66,Ganyu,Genshin Impact,Mini Figure,Mihoyo
Nendoroid Hajime Iwaizumi - Haikyu!! Haikyuu!! (Re-Release),Ready Stock,520000,66,Hajime Iwaizumi,Haikyuu!!,Nendoroid,Orange Rouge
Pop Up Parade Figure Rider / Astolfo - Fate/Grand Order,Ready Stock,650000,66,Astolfo,Fate,Pop Up Parade,Max Factory
[JAPVER] PVC Figure Sanji - One Piece Log File Selection -Fight- Vol. 2 (15cm),Sold Out,350000,66,Sanji,One Piece,Prize Figure,Bandai Spirits
Azhdaha Angry Mode Key Chain Plush (17cm) - Genshin Impact,Sold Out,200000,66,Azhdaha,Genshin Impact,Merchandise - Plush,Mihoyo
[REVIVE] [Cast Off] PVC Figure 1/6 Megami Nure Illustration by Matarou,Late Pre-Order,3250000,66,Megami Nure,Original Character,Scaled Figure,Skytube
[Feb 2022 Release] Xiangling Noodle Bowl Guoba Model - Genshin Impact,Sold Out,480000,66,Xiangling,Genshin Impact,Merchandise - Stationery,Mihoyo
Nendoroid Panda - Jujutsu Kaisen,Ready Stock,700000,66,Panda,Jujutsu Kaisen,Nendoroid,Good Smile Company
Pop Up Parade Figure Tokino Sora - hololive production,Ready Stock,640000,66,Tokino Sora,Hololive,Pop Up Parade,Max Factory
Pop Up Parade Figure Asuka Langley - Neon Genesis Evangelion,Ready Stock,600000,66,Shikinami Asuka Langley,Neon Genesis Evangelion,Pop Up Parade,Good Smile Company
Premium Chokonose Figure Inoue Takina - Lycoris Recoil LycoReco (15cm),Ready Stock,320000,66,Inoue Takina,Lycoris Recoil,Prize Figure,SEGA
PVC Figure Fubuki - Celestial Vivi One Punch Man (20cm),Ready Stock,320000,66,Fubuki,One Punch Man,Prize Figure,Bandai Spirits
Nendoroid Kurumi Tokisaki,Sold Out,650000,66,Kurumi Tokisai,Date A Live,Nendoroid,Good Smile Company
[Exclusive Sale] Nendoroid Theresa Apocalypse - Magical Girl TeRiRi Ver. Honkai Impact 3,Ready Stock,1080000,66,Theresa Apocalypse,Honkai Impact 3,Nendoroid,Good Smile Company
figma Caster / Tamamo No Mae - Fate,Sold Out,920000,66,Tamamo no mae,Fate,figma,Max Factory
Nendoroid Ochaco Uraraka - Hero's Edition,Sold Out,660000,66,Ochaco Uraraka,Boku no Hero Academia,Nendoroid,Good Smile Company
Glitter & Glamours Figure Nezuko Kamado (25cm),Ready Stock,300000,66,Nezuko Kamado,Kimetsu no Yaiba,Prize Figure,Bandai Spirits
PVC Figure 1/6 Ryza / Reisalin Stout - Atelier Ryza Tokoyami no Joou to Himitsu no Kakurega,Ready Stock,3750000,66,Ryza / Reisalin Stout,Atelier Ryza Tokoyami no Joou to Himitsu no Kakurega,Scaled Figure,Max Factory
PVC Figure 1/7 Mutsuki Asagi - Blue Archive (Re-Release),Late Pre-Order,2680000,66,Mutsuki Asagi,Blue Archive,Scaled Figure,PLUM
Nendoroid Swacchao! Shoto Todoroki,Ready Stock,420000,66,Todoroki Shoto,Boku no Hero Academia,Nendoroid Swacchao!,Good Smile Company
Pop Up Parade Figure Alice / Aris Tendou - Mischievous☆Straight Ver.,Late Pre-Order,520000,66,Aris Tendou,Blue Archive,Pop Up Parade,Good Smile Company
Nendoroid Kizuna AI - AI Channel 2019 Ver.,Sold Out,600000,65,Kizuna Ai,Virtual Youtuber,Nendoroid,Good Smile Company
Limited Premium Figure Asuka Langley - Cassius no Yari (22cm),Ready Stock,420000,65,Asuka Langley,Neon Genesis Evangelion,Prize Figure,SEGA
Nendoroid Hatsune Miku - Symphony 5th Anniversary Ver.,Sold Out,1290000,65,Hatsune Miku,Vocaloid,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Draken / Ryuguji Ken - Tokyo Revengers [Global Release Ver.],Ready Stock,650000,65,Draken,Tokyo Revengers,Nendoroid,Orange Rouge
[Cast Off] PVC Figure 1/10 Mini Chie Illustration by Ishi Kei - Native 15th Anniversary,Ready Stock,1350000,65,Chie,Original Character,Scaled Figure,Native
DXF Figure Roronoa Zoro - One Piece Film RED The Grandline Men Vol. 3,Ready Stock,300000,65,Monkey D. Luffy,One Piece,Prize Figure,Bandai Spirits
Nendoroid Langa - SK8 the infinity,Ready Stock,820000,65,Langa,SK8 the Infinity,Nendoroid,Orange Rouge
"PVC Figure Sumi Sakurasawa - Kanojo, Okarishimasu EXQ (18cm)",Ready Stock,340000,65,Sumi Sakurasawa,Kanojo Okarishimashu,Prize Figure,Bandai Spirits
Coreful Figure Maple - Bofuri (20cm),Sold Out,390000,65,Maple,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,Prize Figure,Taito
[REVIVE] PVC Figure 1/7 Levi Ackerman - Birthday Ver.,Late Pre-Order,3750000,65,Levi Ackerman,Shingeki no Kyojin,Scaled Figure,F:NEX
Pop Up Parade Figure Ryomen Sukuna - Jujutsu Kaisen,Sold Out,530000,65,Ryomen Sukuna,Jujutsu Kaisen,Pop Up Parade,Good Smile Company
PVC Figure 1/7 Anya Forger & Yor Forger - SPY x FAMILY,Late Pre-Order,2650000,65,Anya Forger,SPY x FAMILY,Scaled Figure,Good Smile Company
Luminasta Figure Alpha - Kage no Jitsuryokusha ni Naritakute! (20cm),Ready Stock,340000,65,Alpha,Kage no Jitsuryokusha ni Naritakute!,Prize Figure,SEGA
[Exclusive Sale] [Set of 5] Pop Up Parade Figure Gotoubun no Hanayome 1.5 Ver. Special Set,Ready Stock,2850000,65,Nakano Itsuki,Gotoubun no Hanayome,Pop Up Parade,Good Smile Company
Coreful PVC Figure Ch'en / Chen - Swimsuit Ver. Arknights (18cm),Ready Stock,450000,65,Chen,Arknights,Prize Figure,Taito
