Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
Nendoroid Inosuke Hashibira - Kimetsu no Yaiba,Sold Out,880000,110,Inosuke Hashibira,Kimetsu no Yaiba,Nendoroid,Good Smile Company
"Kaedehara Kazuha Inazuma Theme Series (15,5cm) Acrylic Ornament Stand - Genshin Impact",Ready Stock,220000,110,Kazuha,Genshin Impact,Merchandise - Acrylic,Mihoyo
[REVIVE] PVC Figure 1/7 Avenger / Jeanne d'Arc [Alter] (Re-Release),Late Pre-Order,5000000,110,Jeanne d'Arc,Fate,Scaled Figure,ALTER
Super Premium Figure Hatsune Miku - Stage no Sekai (22cm),Ready Stock,450000,109,Hatsune Miku,Vocaloid,Prize Figure,SEGA
[FLASH PO] PVC Figure 1/7 Nakiri Ayame - hololive production,Late Pre-Order,2750000,109,Nakiri Ayame,Hololive,Scaled Figure,Kotobukiya
[REVIVE] Herrscher of Flamescion / Time Runner Suit Jacket (Size S/M/L/XL/3XL) - Honkai Impact 3rd,Sold Out,1270000,109,Kiana Kaslana,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
Premium Figure Loid Forger - SPY X FAMILY (Re-Release) (23cm),Ready Stock,270000,109,Loid Forger,SPY x FAMILY,Prize Figure,SEGA
figma Ch'en / Chen - Arknights,Ready Stock,1280000,108,Ch'en,Arknights,figma,Max Factory
Pop Up Parade L Figure Hatsune Miku - The Vampire Ver.,Ready Stock,1080000,108,Hatsune Miku,Vocaloid,Pop Up Parade L,Good Smile Company
PVC Figure 1/7 Kiana Kaslana - Herrscher of Flamescion Ver.,Late Pre-Order,3650000,108,Kiana Kaslana,Honkai Impact 3rd,Scaled Figure,Mihoyo
Pop Up Parade Figure Mitsuha Miyamizu - Kimi no na Wa,Sold Out,520000,108,Mitsuha Miyamizu,Kimi no Na wa,Pop Up Parade,Good Smile Company
Nendoroid Kita Ikuyo - Bocchi the Rock!,Late Pre-Order,620000,108,Kita Ikuyo,Bocchi the Rock!,Nendoroid,Good Smile Company
[FLASH PO] Nendoroid Nishinoya Yu / Yuu - Haikyuu!! (Re-Release),Sold Out,840000,107,Yu Nishinoya,Haikyuu!!,Nendoroid,Orange Rouge
Pop Up Parade Figure Zenin Maki - Jujutsu Kaisen,Ready Stock,490000,107,Zenin Maki,Jujutsu Kaisen,Pop Up Parade,Good Smile Company
[Limited Production] figma Shirogane Noel - hololive production,Ready Stock,1200000,107,Shirogane Noel,hololive production,figma,Max Factory
Nendoroid Kageyama Shigeo - Mob Psycho 100,Sold Out,720000,107,Kageyama Shigeo,Mob Psycho 100,Nendoroid,Orange Rouge
[Limited Production] Nendoroid Shirakami Fubuki - hololive production,Sold Out,920000,107,Shirakami Fubuki,hololive production,Nendoroid,toytec
PVC Figure 1/7 Hatsune Miku - Miku With You 2021 Ver.,Late Pre-Order,4220000,107,Hatsune Miku,Vocaloid,Scaled Figure,F:NEX
Arknights Kjerag Backpack SilverAsh,Sold Out,540000,106,SilverAsh,Arknights,Merchandise - Backpack,Tomorrow's Ark
Nendoroid Tobio Kageyama - Jersey ver.,Sold Out,550000,106,Tobio Kageyama,Haikyuu!!,Nendoroid,Good Smile Company
"Xiao Liyue Theme Series 15,5cm Acrylic Ornament Stand - Genshin Impact",Ready Stock,230000,106,Xiao,Genshin Impact,Merchandise - Acrylic,Mihoyo
Venti Capsule Collection Figure Vol. 1 - Genshin Impact,Sold Out,100000,106,Venti,Genshin Impact,Mini Figure,Bushiroad Creative
PVC Figure 1/7 Mary Saotome - KAKEGURUI xx,Ready Stock,2450000,106,Saotome Mary,Kakegurui,Scaled Figure,Myethos
